Epochs,1det_loss,1cls_loss,1box_loss,1reg_l2_loss,1loss,1learning_rate,1gradient_norm,1val_det_loss,1val_cls_loss,1val_box_loss,1val_reg_l2_loss,1val_loss,2det_loss,2cls_loss,2box_loss,2reg_l2_loss,2loss,2learning_rate,2gradient_norm,2val_det_loss,2val_cls_loss,2val_box_loss,2val_reg_l2_loss,2val_loss,3det_loss,3cls_loss,3box_loss,3reg_l2_loss,3loss,3learning_rate,3gradient_norm,3val_det_loss,3val_cls_loss,3val_box_loss,3val_reg_l2_loss,3val_loss,4det_loss,4cls_loss,4box_loss,4reg_l2_loss,4loss,4learning_rate,4gradient_norm,4val_det_loss,4val_cls_loss,4val_box_loss,4val_reg_l2_loss,4val_loss,5det_loss,5cls_loss,5box_loss,5reg_l5_loss,5loss,5learning_rate,5gradient_norm,5val_det_loss,5val_cls_loss,5val_box_loss,5val_reg_l5_loss,5val_loss,6det_loss,6cls_loss,6box_loss,6reg_l2_loss,6loss,6learning_rate,6gradient_norm,6val_det_loss,6val_cls_loss,6val_box_loss,6val_reg_l2_loss,6val_loss,7det_loss,7cls_loss,7box_loss,7reg_l2_loss,7loss,7learning_rate,7gradient_norm,7val_det_loss,7val_cls_loss,7val_box_loss,7val_reg_l2_loss,7val_loss,8det_loss,8cls_loss,8box_loss,8reg_l2_loss,8loss,8learning_rate,8gradient_norm,8val_det_loss,8val_cls_loss,8val_box_loss,8val_reg_l2_loss,8val_loss,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data
1,1.7606,1.1614,0.012,0.1078,1.8684,0.0066,1.5575,1.6694,1.1552,0.0103,0.1078,1.7772,1.7568,1.1546,0.012,0.1078,1.8645,0.0066,2.003,1.6815,1.1563,0.0105,0.1078,1.7892,1.7601,1.1668,0.0119,0.1078,1.8679,0.0066,1.8797,1.6674,1.1635,0.0101,0.1078,1.7752,1.782,1.1584,0.0125,0.1078,1.8898,0.0066,1.3191,1.6715,1.1627,0.0102,0.1078,1.7793,1.7529,1.1558,0.0119,0.1078,1.8607,0.0066,1.4559,1.6758,1.1582,0.0104,0.1078,1.7836,1.7897,1.1621,0.0126,0.1078,1.8975,0.0066,1.3635,1.6908,1.1606,0.0106,0.1078,1.7985,1.7465,1.164,0.0116,0.1078,1.8542,0.0066,1.2817,1.69,1.1646,0.0105,0.1078,1.7978,1.7529,1.1558,0.0119,0.1078,1.8607,0.0066,1.4559,1.6758,1.1582,0.0104,0.1078,1.7836,1.7811,1.166,0.0123,0.1078,1.8889,0.0066,2.0201,1.7006,1.1601,0.0108,0.1078,1.8084
2,1.7035,1.1524,0.011,0.1078,1.8113,0.005,1.5982,1.5762,1.145,0.0086,0.1078,1.684,1.7142,1.1499,0.0113,0.1078,1.822,0.005,2.1338,1.6083,1.1461,0.0092,0.1078,1.7161,1.7153,1.1589,0.0111,0.1078,1.8231,0.005,2.3458,1.5856,1.1531,0.0087,0.1078,1.6934,1.731,1.1568,0.0115,0.1078,1.8388,0.005,1.7852,1.6014,1.1536,0.009,0.1078,1.7092,1.7044,1.1482,0.0111,0.1078,1.8122,0.005,1.4725,1.5925,1.1494,0.0089,0.1078,1.7003,1.7112,1.1518,0.0112,0.1078,1.819,0.005,1.4866,1.6314,1.1506,0.0096,0.1078,1.7391,1.7165,1.1539,0.0113,0.1078,1.8242,0.005,1.4503,1.6196,1.1568,0.0093,0.1078,1.7273,1.7044,1.1482,0.0111,0.1078,1.8122,0.005,1.4725,1.5925,1.1494,0.0089,0.1078,1.7003,1.7139,1.1533,0.0112,0.1078,1.8217,0.005,1.4642,1.6349,1.1491,0.0097,0.1078,1.7426
3,1.6995,1.1465,0.0111,0.1078,1.8073,0.005,1.8278,1.5228,1.1347,0.0078,0.1078,1.6306,1.679,1.1428,0.0107,0.1078,1.7868,0.005,3.5863,1.5494,1.1347,0.0083,0.1078,1.6572,1.6745,1.1538,0.0104,0.1078,1.7822,0.005,2.898,1.5235,1.1445,0.0076,0.1078,1.6313,1.6265,1.1405,0.0097,0.1078,1.7342,0.005,1.6145,1.5435,1.1427,0.008,0.1078,1.6513,1.6401,1.1382,0.01,0.1078,1.7479,0.005,1.6215,1.5115,1.1362,0.0075,0.1078,1.6193,1.7258,1.1469,0.0116,0.1078,1.8336,0.005,1.3288,1.5751,1.1378,0.0087,0.1078,1.6829,1.6605,1.1442,0.0103,0.1078,1.7683,0.005,1.5788,1.5526,1.1461,0.0081,0.1078,1.6604,1.6401,1.1382,0.01,0.1078,1.7479,0.005,1.6215,1.5115,1.1362,0.0075,0.1078,1.6193,1.6569,1.1338,0.0105,0.1078,1.7647,0.005,1.9223,1.5726,1.1365,0.0087,0.1078,1.6804
4,1.587,1.1257,0.0092,0.1078,1.6948,0.005,1.9415,1.4934,1.1196,0.0075,0.1078,1.6012,1.6748,1.1352,0.0108,0.1078,1.7825,0.005,2.8158,1.4985,1.1239,0.0075,0.1078,1.6063,1.6057,1.1369,0.0094,0.1078,1.7135,0.005,2.5815,1.4786,1.1312,0.0069,0.1078,1.5864,1.6255,1.1277,0.01,0.1078,1.7333,0.005,1.5518,1.5008,1.1302,0.0074,0.1078,1.6085,1.5769,1.1247,0.009,0.1078,1.6846,0.005,2.7916,1.4571,1.1175,0.0068,0.1078,1.5648,1.6728,1.1377,0.0107,0.1078,1.7805,0.005,1.6704,1.5355,1.1228,0.0083,0.1078,1.6433,1.6137,1.1363,0.0095,0.1078,1.7215,0.005,2.1978,1.4867,1.1321,0.0071,0.1078,1.5945,1.5769,1.1247,0.009,0.1078,1.6846,0.005,2.7916,1.4571,1.1175,0.0068,0.1078,1.5648,1.6017,1.1206,0.0096,0.1078,1.7094,0.005,2.0055,1.5031,1.1169,0.0077,0.1078,1.6108
5,1.5415,1.1109,0.0086,0.1078,1.6493,0.005,1.9566,1.438,1.0949,0.0069,0.1078,1.5458,1.5948,1.1167,0.0096,0.1078,1.7025,0.005,2.5134,1.4604,1.1044,0.0071,0.1078,1.5682,1.575,1.1201,0.0091,0.1078,1.6828,0.005,2.9899,1.4407,1.1135,0.0065,0.1078,1.5485,1.5702,1.1166,0.0091,0.1078,1.678,0.005,1.7707,1.4716,1.1145,0.0071,0.1078,1.5794,1.5724,1.1137,0.0092,0.1078,1.6802,0.005,2.1028,1.3982,1.0898,0.0062,0.1078,1.506,1.6225,1.1203,0.01,0.1078,1.7303,0.005,2.2569,1.4884,1.1013,0.0077,0.1078,1.5961,1.5567,1.1183,0.0088,0.1078,1.6645,0.005,2.4435,1.4298,1.1102,0.0064,0.1078,1.5376,1.5724,1.1137,0.0092,0.1078,1.6802,0.005,2.1028,1.3982,1.0898,0.0062,0.1078,1.506,1.561,1.099,0.0092,0.1078,1.6687,0.005,2.2587,1.4453,1.0884,0.0071,0.1078,1.5531
6,1.4655,1.0746,0.0078,0.1078,1.5733,0.005,2.5803,1.3509,1.0555,0.0059,0.1078,1.4587,1.5679,1.1003,0.0094,0.1078,1.6757,0.005,2.3247,1.4153,1.0763,0.0068,0.1078,1.5231,1.5417,1.1089,0.0087,0.1078,1.6495,0.005,3.6123,1.4167,1.0925,0.0065,0.1078,1.5245,1.5,1.087,0.0083,0.1078,1.6078,0.005,1.8627,1.4366,1.0925,0.0069,0.1078,1.5444,1.4434,1.0889,0.0071,0.1078,1.5512,0.005,3.1555,1.3443,1.0456,0.006,0.1078,1.4521,1.6135,1.1056,0.0102,0.1078,1.7213,0.005,2.532,1.4472,1.0758,0.0074,0.1078,1.555,1.4537,1.0855,0.0074,0.1078,1.5615,0.005,2.3621,1.3599,1.075,0.0057,0.1078,1.4676,1.4434,1.0889,0.0071,0.1078,1.5512,0.005,3.1555,1.3443,1.0456,0.006,0.1078,1.4521,1.4851,1.0539,0.0086,0.1078,1.5929,0.005,2.6134,1.3651,1.0343,0.0066,0.1078,1.4728
7,1.4214,1.0467,0.0075,0.1078,1.5292,0.0049,3.4075,1.2347,0.9722,0.0053,0.1078,1.3425,1.522,1.0813,0.0088,0.1078,1.6297,0.0049,3.6441,1.3665,1.0406,0.0065,0.1078,1.4743,1.4877,1.0792,0.0082,0.1078,1.5955,0.0049,3.7644,1.4067,1.0721,0.0067,0.1078,1.5145,1.4576,1.0581,0.008,0.1078,1.5653,0.0049,2.2153,1.3933,1.0585,0.0067,0.1078,1.501,1.4299,1.0558,0.0075,0.1078,1.5376,0.0049,4.0069,1.2986,0.9722,0.0065,0.1078,1.4064,1.5551,1.0828,0.0094,0.1078,1.6629,0.0049,2.0178,1.3898,1.0373,0.007,0.1078,1.4976,1.4343,1.0596,0.0075,0.1078,1.5421,0.0049,2.2972,1.2543,1.0022,0.005,0.1078,1.3621,1.4299,1.0558,0.0075,0.1078,1.5376,0.0049,4.0069,1.2986,0.9722,0.0065,0.1078,1.4064,1.3906,1.0179,0.0075,0.1078,1.4984,0.0049,3.0807,1.228,0.9365,0.0058,0.1078,1.3358
8,1.3554,0.9867,0.0074,0.1078,1.4632,0.0049,3.7189,1.0963,0.8472,0.005,0.1078,1.2041,1.4308,1.0381,0.0079,0.1078,1.5386,0.0049,4.0324,1.3235,0.9891,0.0067,0.1078,1.4313,1.4109,1.0456,0.0073,0.1078,1.5188,0.0049,4.6296,1.3516,1.0325,0.0064,0.1078,1.4594,1.4526,1.0318,0.0084,0.1078,1.5604,0.0049,3.4237,1.3354,0.9967,0.0068,0.1078,1.4431,1.3801,1.0333,0.0069,0.1078,1.4879,0.0049,4.9293,1.1751,0.8804,0.0059,0.1078,1.2829,1.5388,1.0581,0.0096,0.1078,1.6466,0.0049,2.0127,1.3231,0.9822,0.0068,0.1078,1.4309,1.3925,1.0013,0.0078,0.1078,1.5003,0.0049,3.9861,1.1159,0.9057,0.0042,0.1078,1.2237,1.3801,1.0333,0.0069,0.1078,1.4879,0.0049,4.9293,1.1751,0.8804,0.0059,0.1078,1.2829,1.2588,0.9326,0.0065,0.1078,1.3666,0.0049,3.6537,1.0239,0.7746,0.005,0.1078,1.1317
9,1.3018,0.9501,0.007,0.1078,1.4096,0.0049,3.9882,0.9429,0.7213,0.0044,0.1078,1.0507,1.4028,1.015,0.0078,0.1078,1.5105,0.0049,3.7829,1.2494,0.9323,0.0063,0.1078,1.3572,1.3012,0.9766,0.0065,0.1078,1.409,0.0049,4.3009,1.2813,0.9566,0.0065,0.1078,1.3892,1.3587,0.9801,0.0076,0.1078,1.4665,0.0049,2.8865,1.2296,0.9082,0.0064,0.1078,1.3374,1.2203,0.9286,0.0058,0.1078,1.328,0.0049,3.3617,0.9852,0.7568,0.0046,0.1078,1.093,1.4635,1.0246,0.0088,0.1078,1.5713,0.0049,3.1455,1.2516,0.9138,0.0068,0.1078,1.3594,1.2286,0.9322,0.0059,0.1078,1.3364,0.0049,3.8049,0.987,0.7554,0.0046,0.1078,1.0948,1.2203,0.9286,0.0058,0.1078,1.328,0.0049,3.3617,0.9852,0.7568,0.0046,0.1078,1.093,1.1849,0.8362,0.007,0.1078,1.2927,0.0049,4.3186,0.8364,0.6315,0.0041,0.1078,0.9442
10,1.0642,0.7849,0.0056,0.1078,1.172,0.0049,3.702,0.8728,0.676,0.0039,0.1078,0.9806,1.334,0.9567,0.0075,0.1078,1.4418,0.0049,5.5536,1.1225,0.8225,0.006,0.1078,1.2303,1.1922,0.8966,0.0059,0.1078,1.3,0.0049,4.7321,1.1235,0.8263,0.0059,0.1078,1.2314,1.186,0.8751,0.0062,0.1078,1.2938,0.0049,3.2326,1.0927,0.7935,0.006,0.1078,1.2005,1.1749,0.8677,0.0061,0.1078,1.2827,0.0049,4.3729,0.9066,0.7249,0.0036,0.1078,1.0144,1.4078,0.9686,0.0088,0.1078,1.5156,0.0049,3.0348,1.1807,0.8425,0.0068,0.1078,1.2885,1.1069,0.8088,0.006,0.1078,1.2147,0.0049,3.6448,0.866,0.6839,0.0036,0.1078,0.9738,1.1749,0.8677,0.0061,0.1078,1.2827,0.0049,4.3729,0.9066,0.7249,0.0036,0.1078,1.0144,1.0681,0.7721,0.0059,0.1078,1.1759,0.0049,3.4089,1.0782,0.8686,0.0042,0.1078,1.186
