Epochs,1loss,1cls_loss,1box_loss,2loss,2cls_loss,2box_loss,3loss,3cls_loss,3box_loss,4loss,4cls_loss,4box_loss
1,1.9091,1.1644,0.0127,1.874,1.1581,0.0122,1.9095,1.1618,0.0128,1.8619,1.1587,0.0119
2,1.84,1.1532,0.0116,1.8413,1.1597,0.0115,1.849,1.1556,0.0117,1.8453,1.1525,0.0117
3,1.7417,1.143,0.0098,1.8186,1.1501,0.0112,1.8341,1.1515,0.0115,1.8475,1.147,0.0119
4,1.7307,1.1305,0.0098,1.7895,1.1392,0.0109,1.7605,1.1423,0.0102,1.78,1.1397,0.0106
5,1.627,1.1022,0.0083,1.7084,1.1302,0.0094,1.7657,1.1373,0.0104,1.7338,1.1291,0.0099
6,1.6018,1.0821,0.0082,1.6817,1.1158,0.0092,1.7107,1.1297,0.0095,1.6851,1.1269,0.009
7,1.4736,1.0239,0.0068,1.6533,1.1072,0.0088,1.7054,1.1158,0.0096,1.6498,1.1045,0.0088
8,1.3585,0.9389,0.0062,1.6137,1.0852,0.0084,1.679,1.1012,0.0094,1.606,1.0902,0.0082
9,1.1852,0.8086,0.0054,1.6267,1.0726,0.0089,1.6011,1.0914,0.008,1.5998,1.0661,0.0085
10,1.0744,0.7075,0.0052,1.5178,1.0391,0.0074,1.5665,1.0708,0.0078,1.5725,1.0586,0.0081
11,1.0012,0.6612,0.0046,1.4363,0.9873,0.0068,1.5411,1.055,0.0076,1.4847,1.0053,0.0074
12,0.9436,0.6205,0.0043,1.371,0.9254,0.0068,1.4946,1.0113,0.0075,1.44,0.9796,0.0071
13,0.9027,0.5699,0.0045,1.3309,0.8858,0.0067,1.3986,0.9296,0.0072,1.3067,0.8622,0.0067
14,0.7233,0.4382,0.0035,1.2282,0.8106,0.0062,1.3876,0.9541,0.0065,1.1785,0.7878,0.0057
15,0.7183,0.4446,0.0033,1.2448,0.8177,0.0064,1.2993,0.8631,0.0066,1.271,0.8189,0.0069
16,0.7606,0.4712,0.0036,1.0263,0.6286,0.0058,1.2221,0.7725,0.0068,1.211,0.7842,0.0064
17,0.5981,0.3682,0.0024,1.1246,0.7387,0.0056,1.0921,0.7246,0.0052,1.1182,0.7313,0.0056
18,0.5987,0.3429,0.003,1.0748,0.673,0.0059,1.076,0.6709,0.0059,1.1575,0.7324,0.0063
19,0.6271,0.36,0.0032,1.0441,0.6748,0.0052,0.934,0.5967,0.0046,0.9779,0.6018,0.0054
20,0.5464,0.2942,0.0029,0.9256,0.5738,0.0049,0.966,0.595,0.0053,1.0678,0.704,0.0051
21,0.5005,0.273,0.0024,0.875,0.5375,0.0046,1.0132,0.6364,0.0054,1.0257,0.6326,0.0057
22,0.5186,0.2932,0.0023,0.8527,0.5029,0.0048,1.0329,0.6604,0.0053,0.8578,0.5283,0.0044
23,0.5241,0.3011,0.0023,0.899,0.5024,0.0058,0.9321,0.6064,0.0044,0.9342,0.6022,0.0045
24,0.4723,0.2579,0.0021,0.8399,0.4861,0.0049,0.9157,0.6034,0.0041,0.9583,0.6278,0.0045
25,0.5185,0.2979,0.0023,0.8767,0.5246,0.0049,0.8828,0.5158,0.0052,0.8391,0.5249,0.0041
26,0.4145,0.2195,0.0017,0.935,0.6199,0.0041,0.8908,0.5569,0.0045,0.9374,0.5275,0.006
27,0.4354,0.2301,0.0019,0.7828,0.4619,0.0043,0.8553,0.5147,0.0047,0.8303,0.5247,0.004
28,0.399,0.2123,0.0016,0.8126,0.4493,0.0051,0.7835,0.4815,0.0039,0.8881,0.5313,0.005
29,0.4269,0.241,0.0016,0.8474,0.4981,0.0048,0.8358,0.5362,0.0038,0.8402,0.5225,0.0042
30,0.4157,0.2304,0.0015,0.7367,0.4005,0.0046,0.7101,0.399,0.0041,0.8454,0.509,0.0046
31,0.4846,0.2828,0.0019,0.775,0.4646,0.004,0.8902,0.5673,0.0043,0.8116,0.488,0.0043
32,0.4093,0.2294,0.0014,0.8165,0.477,0.0046,0.7222,0.4254,0.0038,0.8206,0.4664,0.0049
33,0.3628,0.1925,0.0012,0.6468,0.3826,0.0031,0.6476,0.3727,0.0033,0.7789,0.4479,0.0045
34,0.4098,0.2259,0.0015,0.8192,0.4722,0.0048,0.732,0.4078,0.0043,0.7742,0.4801,0.0037
35,0.4283,0.247,0.0015,0.7616,0.4286,0.0045,0.662,0.3742,0.0036,0.6417,0.3547,0.0036
36,0.3725,0.1962,0.0014,0.6748,0.4027,0.0033,0.6989,0.4041,0.0037,0.842,0.4801,0.0051
37,0.4767,0.2715,0.0019,0.7993,0.4479,0.0049,0.715,0.4333,0.0035,0.7299,0.4394,0.0036
38,0.3464,0.176,0.0013,0.5978,0.3419,0.003,0.6749,0.3577,0.0042,0.6902,0.4181,0.0033
39,0.4223,0.2338,0.0016,0.6859,0.3985,0.0036,0.6988,0.4311,0.0032,0.7228,0.4225,0.0038
40,0.3477,0.1809,0.0012,0.6385,0.3506,0.0036,0.6323,0.365,0.0032,0.6839,0.431,0.0029
41,0.3504,0.1785,0.0013,0.5617,0.3158,0.0028,0.6179,0.3477,0.0032,0.6507,0.374,0.0034
42,0.3392,0.175,0.0011,0.6282,0.3411,0.0036,0.575,0.3272,0.0028,0.6599,0.3851,0.0033
43,0.3214,0.1698,8.74E-04,0.6358,0.3657,0.0032,0.5953,0.3387,0.003,0.64,0.3561,0.0035
